pressure,stress_std,damage
100,5274521.842157707,6.560552003986095e-08
200,53146736.73779619,0.0014257381808229486
200,16552077.544989545,4.1428071100303424e-05
200,29658410.697228506,0.0002655195887956017
100,14836969.77888986,3.7001244768532534e-06
30,3204493.4129046835,2.0164751799540754e-09
100,4366821.417420623,3.478669919299486e-08
100,8031730.730569494,4.2739852743832185e-07
100,23765370.428739253,3.921810853147671e-05
100,30935448.8862182,8.533046046914178e-05
30,12635303.26876705,1.7009703154735445e-06
30,18298050.924067654,5.081682527180239e-06
200,7349039.908577713,7.793798504837499e-07
100,23472181.04763997,3.47075121427e-05
200,5297478.090986164,2.0397608300296746e-07
200,16165516.901148971,1.079240798430219e-05
200,7583540.870143928,8.074302838644828e-07
200,8083643.751734097,1.6947283338422568e-06
30,4151094.6664924156,1.4013719541210546e-08
200,41154783.24968736,0.0007247270735375993
30,13761179.819318663,1.5892866375918766e-06
100,26887736.06839267,4.6916015809769864e-05
30,8950953.653837368,2.3035708882451815e-07
30,15556586.82987524,2.641103147334034e-06
200,5115824.562519261,1.7473829288497567e-07
200,9282030.966596493,5.625132037321952e-06
100,4495551.627599311,3.876040136442191e-08
100,9357342.449127257,1.4221113180586885e-06
100,18352665.113420557,1.712057720185986e-05
30,15196822.287923642,2.173336558799171e-06
200,4256581.201965398,7.698517889784383e-08
200,5167134.044592457,2.6614325032268695e-07
30,10608731.961200839,1.3717706338006713e-06
30,7379691.218160923,2.967188234859763e-07
100,15686820.843088835,1.1873613741313562e-05
30,6427536.18571033,2.414023000843233e-07
100,12043265.752852082,3.350985763803726e-06
30,1994725.064999935,3.7464965378490064e-10
30,4417725.43813441,1.3643077433357943e-08
200,6325420.632366681,3.372826323905986e-07
30,8935173.84070635,3.2141549147555784e-07
30,9590573.85647217,5.485623162958698e-07
30,11034265.581976445,1.0783305078567363e-06
200,54289868.50610495,0.0016964089372130309
30,4872891.083367023,3.631492920849418e-08
200,2166887.7317442694,4.563698407960308e-09
30,18688854.779072512,5.14254762445428e-06
30,1512710.9245465933,1.4221132303729144e-10
100,43993716.14757071,0.00024322513257376096
200,27255284.825798128,0.00028569297910557736
30,21841954.949140158,9.80230658062476e-06
200,5566624.511228187,3.8526948692266774e-07
200,9773764.278924718,4.2935286502777735e-06
200,10403387.340201695,6.678038536521026e-06
30,21296827.492104895,7.411493522253013e-06
100,17794039.72504859,1.8960643164793045e-05
30,16447628.593057683,4.196403461486609e-06
30,1230347.086910717,3.670279106100068e-11
200,8260206.267323843,2.7335650972145305e-06
30,17974170.97479576,4.451121873225067e-06
30,15779468.769821128,3.116298598015068e-06
100,10600695.2409303,2.125183845653017e-06
30,5806230.7851487445,9.706869238865513e-08
30,1190230.7783985634,3.352295447438199e-11
100,3390844.276627419,5.962782483597499e-09
100,22258904.163738877,4.174482470087945e-05
200,1969498.4312116168,3.3570835812648973e-09
30,4136229.9689633427,9.15808463834452e-09
30,14490328.88551436,2.647397831404866e-06
100,32018618.739777245,8.576793522233082e-05
100,6295079.368082568,2.8624005941386713e-07
100,1159001.287292963,8.633347226232021e-11
200,2954057.042955286,1.686668468224966e-08
100,10147487.222962223,1.6120199140595786e-06
30,3765061.5206425665,3.063618857615931e-09
200,24829078.64905102,0.0001328276885446637
200,31811300.520991236,0.0003604123065725924
30,13603668.63278036,3.118786552616794e-06
30,3736673.096721742,8.709084876194759e-09
200,4992768.284770668,2.3161450588308974e-07
100,27423277.050886735,5.388447048298733e-05
100,28333918.76343263,5.745715028183904e-05
200,24736715.94906467,0.00012157897747015684
30,21449247.646851722,8.917758537336986e-06
100,3272848.654283784,1.3226280368386129e-08
100,4398060.84760692,4.129649697944178e-08
100,4990562.247536215,7.726601330106746e-08
30,22944922.981476244,1.3546213944403835e-05
30,14362382.622487754,2.02094214394187e-06
30,21087348.303177714,1.6430835048654177e-05
200,3194326.866022247,3.435431598941952e-08
100,15537214.18850849,7.239909262395241e-06
30,10207150.658799762,9.50766842681185e-07
200,8246153.583017881,2.3219621194870337e-06
100,1443629.4511910626,3.9026028109550333e-10
100,21541402.273026053,3.834157598284589e-05
200,35571395.75555149,0.0004822431056601746
100,18984725.824001707,2.319047798934613e-05
100,5671025.674928643,1.99574945040101e-07
200,6108659.463273821,3.8374863309182874e-07
200,8175487.213010217,1.8864697415151846e-06
200,50926831.415010594,0.0009883277362567329
100,6072776.290576821,8.920890750269863e-08
200,4125030.740816006,7.887016944976062e-08
100,3702611.4133999352,2.113406299466955e-08
30,13415581.60507777,2.2054735034592875e-06
200,14416546.870878609,1.2823530141927637e-05
30,4354847.0988909975,1.4859174387819486e-08
30,15708584.278969562,3.2237580919344176e-06
30,19797620.839162078,8.042439797756061e-06
100,669555.6016145953,1.694365054375558e-11
200,16493529.812580567,2.8203679077915442e-05
100,19904893.548526563,2.612592111121284e-05
200,3689103.7890820145,6.426347837428185e-08
30,3510527.1327840327,5.682045655541507e-09
30,6185782.045481359,5.356512501433699e-08
100,20599192.03508858,2.4525176295356917e-05
200,3837690.849094733,6.288148910826061e-08
200,32272379.07602232,0.0003253261033496277
200,17077767.074772056,6.640843219076986e-05
100,3367790.281372092,8.679385986930821e-09
100,5691637.902099619,1.4466895516336744e-07
30,13854568.87366726,2.2432175506653866e-06
